109	61	57	115
95	74	62	111
111	70	70	91
89	68	83	102
99	79	72	92
93	66	72	111
83	79	77	103
91	85	70	96
121	63	71	87
143	38	57	104
162	25	38	117
155	28	43	116
127	43	46	126
40	40	29	233
32	16	240	54
30	36	27	249
29	18	254	41
227	41	46	28
74	54	53	161
68	106	77	91
70	81	55	136
131	45	88	78
77	74	100	91
134	60	59	89
32	31	30	249
46	247	14	35
238	29	41	34
60	232	16	34
217	35	45	45
94	62	49	137
116	39	20	167
113	43	24	162
89	51	38	164
100	62	58	122
110	72	67	93
105	62	76	99
108	90	65	79
110	71	72	89
93	76	65	108
102	74	66	100
121	72	44	105
130	49	52	111
